Unnamed: 0,index,talk_time,battery_power,pc,three_g,mobile_wt,px_width,sc_h,sc_w,m_dep,touch_screen,fc,four_g,hgv,price_range,blue,n_cores,wifi,dual_sim,ram,werf,int_memory,px_height,clock_speed
0,1517,11.0,911.0,4.0,0.0,199.0,1692.0,16.0,3.0,0.7,1.0,3.0,0.0,11.0,3.0,0.0,4.0,0.0,1.0,2933.0,9156615,14.0,1563.0,1.4
18,2221,14.0,1698.0,20.0,1.0,160.0,994.0,13.0,3.0,0.9,0.0,5.0,1.0,14.0,0.0,0.0,6.0,1.0,0.0,796.0,9156615,18.0,363.0,2.1
30,503,9.0,1438.0,6.0,1.0,176.0,1663.0,19.0,13.0,0.6,1.0,0.0,1.0,9.0,0.0,0.0,7.0,1.0,0.0,869.0,9156615,32.0,683.0,2.2
33,1143,19.0,904.0,11.0,1.0,112.0,1014.0,13.0,3.0,0.8,0.0,10.0,1.0,19.0,2.0,1.0,3.0,0.0,1.0,2814.0,9156615,31.0,657.0,1.2
36,212,13.0,1049.0,17.0,0.0,135.0,1077.0,11.0,3.0,0.5,0.0,9.0,0.0,13.0,0.0,1.0,5.0,0.0,0.0,1022.0,9156615,63.0,199.0,2.2
41,824,19.0,1722.0,19.0,0.0,88.0,1638.0,5.0,1.0,0.8,0.0,7.0,0.0,19.0,3.0,1.0,6.0,1.0,0.0,2376.0,9156615,25.0,1179.0,1.0
58,1211,4.0,713.0,9.0,1.0,181.0,1378.0,10.0,6.0,0.4,1.0,7.0,1.0,4.0,0.0,1.0,8.0,1.0,0.0,485.0,9156615,2.0,1211.0,1.6
60,1881,7.0,1802.0,16.0,1.0,116.0,963.0,10.0,9.0,0.5,1.0,8.0,0.0,7.0,2.0,1.0,5.0,0.0,1.0,1885.0,9156615,27.0,453.0,1.2
64,464,11.0,1067.0,15.0,1.0,122.0,1989.0,16.0,14.0,0.6,0.0,3.0,1.0,11.0,0.0,1.0,8.0,0.0,1.0,604.0,9156615,40.0,494.0,2.4
69,1927,7.0,1023.0,8.0,1.0,153.0,1985.0,11.0,10.0,0.7,1.0,2.0,1.0,7.0,3.0,1.0,7.0,1.0,0.0,3155.0,9156615,63.0,367.0,0.7
72,1129,3.0,1562.0,9.0,1.0,105.0,728.0,13.0,10.0,0.1,1.0,0.0,1.0,3.0,2.0,1.0,7.0,1.0,1.0,2829.0,9156615,52.0,480.0,1.2
74,2017,4.0,1412.0,17.0,0.0,96.0,1894.0,15.0,9.0,0.8,0.0,5.0,0.0,4.0,1.0,1.0,8.0,1.0,0.0,837.0,9156615,25.0,516.0,2.4
