talk_time,battery_power,pc,three_g,mobile_wt,px_width,sc_h,sc_w,m_dep,touch_screen,fc,four_g,price_range,blue,n_cores,wifi,dual_sim,ram,int_memory,px_height,clock_speed
11,911,4,0,199,1692,16,3,0,1,3,0,3,0,4,0,1,2933,14,1563,1.4
14,1698,20,1,160,994,13,3,0,0,5,1,0,0,6,1,0,796,18,363,2.1
9,1438,6,1,176,1663,19,13,0,1,0,1,0,0,7,1,0,869,32,683,2.2
19,904,11,1,112,1014,13,3,0,0,10,1,2,1,3,0,1,2814,31,657,1.2
13,1049,17,0,135,1077,11,3,0,0,9,0,0,1,5,0,0,1022,63,199,2.2
19,1722,19,0,88,1638,5,1,0,0,7,0,3,1,6,1,0,2376,25,1179,1.0
4,713,9,1,181,1378,10,6,0,1,7,1,0,1,8,1,0,485,2,1211,1.6
7,1802,16,1,116,963,10,9,0,1,8,0,2,1,5,0,1,1885,27,453,1.2
11,1067,15,1,122,1989,16,14,0,0,3,1,0,1,8,0,1,604,40,494,2.4
7,1023,8,1,153,1985,11,10,0,1,2,1,3,1,7,1,0,3155,63,367,0.7
3,1562,9,1,105,728,13,10,0,1,0,1,2,1,7,1,1,2829,52,480,1.2
4,1412,17,0,96,1894,15,9,0,0,5,0,1,1,8,1,0,837,25,516,2.4
14,1665,18,1,194,1684,18,17,0,0,3,1,2,1,6,0,0,1601,60,1572,0.5
5,781,7,0,198,1674,13,8,0,0,2,0,3,0,5,1,0,3508,38,304,1.1
4,1788,20,1,150,1073,12,2,0,0,15,1,2,1,6,1,1,2655,2,472,0.5
5,578,13,1,170,1134,15,12,0,1,9,1,2,1,5,1,0,2977,62,626,0.5
19,664,5,1,106,1497,17,15,0,1,0,0,1,0,5,0,1,2042,28,754,1.2
14,587,16,1,170,1793,9,2,0,1,4,0,2,1,1,0,1,2777,6,612,2.3
20,994,3,1,173,530,5,2,0,1,0,0,2,1,3,1,1,3190,56,491,2.8
3,1689,15,1,150,675,8,4,0,0,11,0,2,1,5,0,0,2637,9,467,0.5
11,1008,15,1,114,1122,10,3,1,0,11,0,1,0,3,0,0,2009,61,1077,0.8
13,1224,18,1,157,563,10,5,1,1,9,0,3,1,1,0,0,3796,33,522,1.6
19,1002,4,1,83,1416,16,5,0,0,0,1,1,0,2,1,1,1726,35,1345,0.8
11,1891,14,1,129,1108,8,6,0,0,7,1,3,0,7,0,0,3704,37,169,2.8
6,1918,5,0,139,1203,9,6,0,1,1,0,1,0,1,1,0,1369,22,381,2.8
